gvkey,cik,quarter
162906,0001598014,2020Q2
061388,0001095073,2020Q2
005643,0001585689,2020Q2
063080,0001013462,2020Q2
141384,0001097149,2020Q2
031887,0000943819,2020Q2
009771,0000091142,2020Q2
128978,0000075677,2020Q2
014418,0000789570,2020Q2
013510,0000783280,2020Q2
017928,0001478242,2020Q2
121382,0001034054,2020Q2
004060,0001666700,2020Q2
013421,0000813672,2020Q2
104432,0001513761,2020Q2
186310,0001501585,2020Q2
175955,0001111928,2020Q2
017120,0000719739,2020Q2
064630,0000946581,2020Q2
178507,0001408198,2020Q2
013619,0000815094,2020Q2
006338,0001711269,2020Q2
018872,0001418091,2020Q2
176928,0001383312,2020Q2
005667,0001915657,2020Q2
184700,0001175454,2020Q2
029901,0000900075,2020Q2
020748,0001596532,2020Q2
009225,0000084839,2020Q2
183377,0001262039,2020Q2
025124,0001707925,2020Q2
020232,0001601046,2020Q2
011811,0000779152,2020Q2
170750,0001539838,2020Q2
014256,0000743316,2020Q2
028790,0001679273,2020Q2
162254,0001306830,2020Q2
014275,0001132979,2020Q2
010407,0000096943,2020Q2
004383,0000731802,2020Q2
060979,0000943452,2020Q2
034636,0001754301,2020Q2
034443,0001751788,2020Q2
035168,0001755672,2020Q2
100243,0001748790,2020Q2
158742,0001278021,2020Q2
017874,0001283699,2020Q2
015267,0000832101,2020Q2
165123,0001336920,2020Q2
028320,0001402057,2020Q2
012459,0000906163,2020Q2
161844,0001300514,2020Q2
171007,0001373715,2020Q2
014822,0000011544,2020Q2
024617,0000878927,2020Q2
025313,0001757898,2020Q2
165746,0001335258,2020Q2
024405,0000877212,2020Q2
020116,0001590955,2020Q2
030098,0001699150,2020Q2
